Team,Diagnosis Code,Z score
UW-biostat,I00-I99,2343.974484
UW-biostat,I70-I79,-1.15E-11
UW-biostat,I73,15.65630578
UW-biostat,I73.9,11.50151704
UW-biostat,S00-T88,603.7011207
UW-biostat,S50-S59,62.27786559
UW-biostat,S52,14.64329084
UW-biostat,S52.2,5.251655968
UW-biostat,S52.6,5.248478569
UW-biostat,S52.69,-1.17E-11
UW-biostat,S52.20,2.101626448
UW-biostat,S52.201,2.102096978
UW-biostat,S30-S39,95.78861484
UW-biostat,S31,-12.61677794
UW-biostat,S40-S49,72.3527421
UW-biostat,S41,-6.30784489
UW-biostat,S41.1,-8.412690354
UW-biostat,F01-F99,355.7940714
UW-biostat,F10-F19,104.4218153
UW-biostat,F12,116.9207762
UW-biostat,F12.9,108.8983276
UW-biostat,F12.90,108.9135127
UW-biostat,S70-S79,8.348159712
UW-biostat,I95-I99,322.3938699
UW-biostat,I99,24.11736841
UW-biostat,I99.8,23.07308497
UW-biostat,M00-M99,317.8494959
UW-biostat,M60-M63,51.73421709
UW-biostat,M62,41.45444863
UW-biostat,M62.8,57.00308531
UW-biostat,M62.83,10.45630872
UW-biostat,M62.838,5.234175004
UW-biostat,D50-D89,1884.579783
UW-biostat,D60-D64,1146.020825
UW-biostat,D62,157.7093054
UW-biostat,S71,2.101563702
UW-biostat,S71.1,1.050919058
UW-biostat,M70-M79,35.342389
UW-biostat,M79,16.93364976
UW-biostat,M79.6,45.40388712
UW-biostat,M79.63,7.34688503
UW-biostat,M79.631,3.151404565
UW-biostat,M79.60,7.283629206
UW-biostat,M79.601,19.91108836
UW-biostat,F17,-31.59561265
UW-biostat,F17.2,-31.59561265
UW-biostat,F17.21,28.66920208
UW-biostat,F17.210,26.62919383
UW-biostat,S80-S89,115.640321
UW-biostat,S83,37.55532748
UW-biostat,S83.5,15.72418931
UW-biostat,S83.51,15.72577804
UW-biostat,S83.512,7.349603285
UW-biostat,S83.512A,4.202296752
UW-biostat,M20-M25,69.1485352
UW-biostat,M25,80.2947601
UW-biostat,M25.5,69.53751699
UW-biostat,M25.56,-19.62542693
UW-biostat,M25.562,-28.1180703
UW-biostat,S83.512D,6.301423443
UW-biostat,M25.6,25.98188538
UW-biostat,M25.61,8.387556746
UW-biostat,M25.612,-6.30504191
UW-biostat,M75,-8.368956441
UW-biostat,M75.1,8.382120081
UW-biostat,M75.10,-2.100079298
UW-biostat,M75.102,5.25155793
UW-biostat,S46,9.433248952
UW-biostat,S46.0,5.251008883
UW-biostat,S46.01,5.252067706
UW-biostat,M25.51,-3.094878388
UW-biostat,M25.512,-5.206688643
UW-biostat,S49,20.95520912
UW-biostat,S49.9,22.00191212
UW-biostat,S49.92,9.44709435
UW-biostat,S49.92XA,9.447588436
UW-biostat,N00-N99,1458.188592
UW-biostat,N80-N98,97.49974117
UW-biostat,N94,12.55675115
UW-biostat,N94.9,1.050495416
UW-biostat,R00-R99,1928.927736
